unixtime;Bx;By;Bz
1615395150.4453914;1215;-5720;-10963
1615395150.4639435;1217;-5692;-10865
1615395150.474485;1238;-5677;-10827
1615395150.4839032;1241;-5652;-10775
1615395150.4952307;1236;-5642;-10726
1615395150.5241416;1248;-5592;-10581
1615395150.5540154;1275;-5557;-10396
1615395150.5838535;1283;-5500;-10216
1615395150.594459;1275;-5465;-10146
1615395150.6129756;1291;-5432;-10020
1615395150.6232061;1288;-5410;-9955
1615395150.6328366;1291;-5392;-9890
1615395150.6441069;1302;-5362;-9800
1615395150.653047;1302;-5347;-9721
1615395150.6830842;1322;-5282;-9488
1615395150.694093;1312;-5242;-9410
1615395150.7227876;1336;-5160;-9162
1615395150.75253;1343;-5072;-8892
1615395150.7825367;1343;-4982;-8620
1615395150.7935534;1355;-4952;-8511
1615395150.822434;1362;-4845;-8227
1615395150.8321;1365;-4820;-8113
1615395150.8428657;1372;-4782;-8001
1615395150.8618422;1370;-4700;-7807
1615395150.8715029;1386;-4665;-7677
1615395150.8812556;1391;-4632;-7573
1615395150.9112976;1412;-4535;-7230
1615395150.9212568;1400;-4505;-7113
1615395150.9311807;1407;-4465;-6991
1615395150.9423642;1410;-4400;-6860
1615395150.9712992;1428;-4280;-6508
1615395150.9814458;1436;-4230;-6386
1615395150.9922612;1438;-4185;-6241
1615395151.0103934;1436;-4105;-5993
1615395151.0203965;1452;-4047;-5860
1615395151.0307932;1450;-4022;-5732
1615395151.0600462;1457;-3875;-5333
1615395151.0705638;1467;-3825;-5190
1615395151.0799947;1473;-3772;-5067
1615395151.091561;1467;-3722;-4898
1615395151.1001394;1473;-3665;-4767
1615395151.1306527;1478;-3515;-4340
1615395151.141546;1486;-3462;-4187
1615395151.1699564;1497;-3317;-3753
1615395151.1995466;1507;-3160;-3298
1615395151.2097294;1521;-3092;-3146
1615395151.2406404;1531;-2907;-2675
1615395151.2495127;1528;-2852;-2543
1615395151.2792935;1536;-2670;-2083
1615395151.2905889;1557;-2602;-1885
1615395151.3195415;1557;-2407;-1437
1615395151.3506176;1586;-2230;-938
1615395151.35864;1586;-2160;-762
1615395151.3685696;1597;-2077;-615
1615395151.3785868;1595;-2025;-451
1615395151.389355;1610;-1937;-263
1615395151.419583;1607;-1735;208
1615395151.4278345;1618;-1650;375
1615395151.439073;1636;-1577;563
1615395151.4678886;1652;-1365;1048
1615395151.478451;1650;-1280;1225
1615395151.4886215;1663;-1195;1418
1615395151.5185237;1695;-952;1898
1615395151.5274346;1692;-877;2081
1615395151.538242;1700;-782;2282
1615395151.5672717;1707;-535;2762
1615395151.5772035;1710;-447;2947
1615395151.588036;1731;-347;3135
1615395151.5969353;1723;-260;3277
1615395151.6069674;1742;-180;3443
1615395151.637784;1750;112;3980
1615395151.6466544;1755;190;4116
1615395151.6563437;1757;282;4282
1615395151.6663237;1763;382;4443
1615395151.6764786;1771;482;4585
1615395151.6872365;1787;597;4772
1615395151.6965601;1785;670;4906
1615395151.7261367;1800;965;5353
1615395151.7370908;1802;1067;5508
1615395151.745903;1802;1162;5633
1615395151.7763095;1808;1447;6021
1615395151.7866068;1800;1552;6173
1615395151.8161385;1790;1827;6516
1615395151.8253994;1795;1927;6620
1615395151.836579;1792;2040;6737
1615395151.8653204;1763;2307;7040
1615395151.8950968;1755;2575;7320
1615395151.9050417;1728;2675;7391
1615395151.9364288;1697;2965;7620
1615395151.9449308;1692;3035;7685
1615395151.9756331;1650;3295;7835
1615395151.9861355;1621;3400;7897
1615395152.0147223;1573;3645;7998
1615395152.0241683;1555;3725;8028
